tweet,anger,disgust,fear,happiness,sadness,surprise
"آج میرا دل بہت خوش ہے، سب کچھ اچھا لگ رہا ہے 😊",0,0,0,1,0,0
"مبارک ہو! ہم یہ میچ جیت گئے 🎉",0,0,0,1,0,0
"بہت دنوں بعد دوست سے مل کر دل خوش ہو گیا",0,0,0,1,0,0
"اللہ کا شکر ہے کہ سب خیریت سے ہیں",0,0,0,1,0,0
"نتیجہ آ گیا اور میں پاس ہو گیا، کتنی خوشی ہے",0,0,0,1,0,0
"اپنوں کے ساتھ وقت گزار کر دل کو سکون ملا",0,0,0,1,0,0
"یہ خبر سن کر میرا دل بہت اداس ہو گیا",0,0,0,0,1,0
"آج بہت تنہا محسوس کر رہا ہوں، آنکھوں میں آنسو ہیں",0,0,0,0,1,0
"اپنے پیارے کو کھونے کا غم بہت بڑا ہے",0,0,0,0,1,0
"دل ٹوٹ گیا ہے، کچھ اچھا نہیں لگ رہا",0,0,0,0,1,0
"بچپن کے دن یاد آتے ہیں تو دل بھر آتا ہے",0,0,0,0,1,0
"مایوسی نے گھیر لیا ہے، کوئی امید باقی نہیں",0,0,0,0,1,0
"مجھے تم پر بہت غصہ آ رہا ہے، یہ ٹھیک نہیں ہوا",1,0,0,0,0,0
"اتنی بدتمیزی! میں برداشت نہیں کروں گا",1,0,0,0,0,0
"ہر بار وعدہ توڑ دیتے ہو، اب بس بہت ہو گیا",1,0,0,0,0,0
"یہ ناانصافی ہے، مجھے شدید غصہ ہے",1,0,0,0,0,0
"بار بار کی بے عزتی پر اب غصہ پھٹ پڑا ہے",1,0,0,0,0,0
"یہ حرکت بہت گھٹیا ہے، مجھے اس سے نفرت ہے",0,1,0,0,0,0
"اتنی گندگی دیکھ کر طبیعت خراب ہو گئی",0,1,0,0,0,0
"ایسی سوچ سے مجھے کراہت آتی ہے",0,1,0,0,0,0
"اس کی دوغلی باتوں سے مجھے گھن آتی ہے",0,1,0,0,0,0
"مجھے بہت ڈر لگ رہا ہے، رات بہت اندھیری ہے",0,0,1,0,0,0
"یہ آواز سن کر میں خوفزدہ ہو گیا",0,0,1,0,0,0
"امتحان کا خوف دل پر چھایا ہوا ہے",0,0,1,0,0,0
"اکیلے سفر کرنے سے ڈر لگتا ہے",0,0,1,0,0,0
"اس خبر نے دہشت پھیلا دی، سب سہمے ہوئے ہیں",0,0,1,0,0,0
"واہ! یہ تو بالکل غیر متوقع تھا 😮",0,0,0,0,0,1
"یہ کیسے ہو گیا؟ مجھے یقین ہی نہیں آ رہا",0,0,0,0,0,1
"اچانک وہ سامنے آ گیا، میں حیران رہ گیا",0,0,0,0,0,1
"اتنا بڑا تحفہ؟ میں تو حیرت میں ہوں",0,0,0,1,0,1
"اس کی بے وفائی پر غصہ بھی ہے اور دکھ بھی",1,0,0,0,1,0
"یہ منظر دیکھ کر میں ڈر بھی گیا اور حیران بھی ہوا",0,0,1,0,0,1
"اس کے جھوٹ پر مجھے نفرت اور غصہ دونوں ہیں",1,1,0,0,0,0
"خوشخبری اچانک ملی، خوشی اور حیرت ساتھ ساتھ",0,0,0,1,0,1
"اسے کھو کر دل غمگین ہے اور آگے کا ڈر بھی ہے",0,0,1,0,1,0
"یہ ظلم دیکھ کر دکھ بھی ہوا اور غصہ بھی آیا",1,0,0,0,1,0
"اتنی گندی بات سن کر نفرت ہوئی اور دل بھی دکھا",0,1,0,0,1,0
"کامیابی کی خبر پر دل جھوم اٹھا، شکر ہے",0,0,0,1,0,0
"رات کے اندھیرے میں اکیلا پھنس گیا، بہت خوف ہے",0,0,1,0,0,0
"اس کی موت کی خبر نے سب کو رلا دیا",0,0,0,0,1,0
"یہ دھوکہ ناقابلِ معافی ہے، مجھے سخت غصہ ہے",1,0,0,0,0,0
"نئی نوکری مل گئی، خوشی سے آنکھیں بھر آئیں",0,0,0,1,0,0
